Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шиян,Павло,Леопольдович,Чоловік,31-12-1951,Публіцист,хутір Тиврів,"площа 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 6, Очаків, 89036",074 170 43 58,mpavlenko@example.com
Приймак,Стефан,Теодорович,Чоловік,28-12-2002,Геолог,селище Щолкіне,"площа Восьмого березня 3-й, буд. 17, Керч, 52565",032 206-44-74,nazarenkobohuslava@example.org
Ванченко,Олесь,Зорянович,Чоловік,29-04-1967,Ріелтор,село Радомишль,"шосе 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 83 кв. 37, Горохів, 39259",+380 66 196-70-20,hhaidabura@example.org
Бабʼюк,Феофан,Тарасович,Чоловік,18-05-1945,Пекар,селище Старий Самбір,"набережна Бібліотечна, буд. 5, Ланівці, 97546",+380 50 830 43 28,rartym@example.com
Забарний,Валерій,Ааронович,Чоловік,15-01-1967,Реабілітолог,хутір Борзна,"сквер Успенська, буд. 071 кв. 0, Олександрівськ, 09989",050 935-11-04,valeriiprymachenko@example.org
Семенченко,Данило,Стефанович,Чоловік,19-02-1988,Парфюмер,село Нова Одеса,"сквер Ботанічний, буд. 3 кв. 21, Токмак, 30117",+380 21 515-83-12,irena14@example.com
Голик,Гліб,Богуславович,Чоловік,31-10-1958,Нотаріус,селище Борзна,"шосе Заводська 5-та, буд. 81, П'ятихатки, 28111",+380 86 323-49-93,karpatereza@example.com
Петлюра,Аврелій,Ігорович,Чоловік,27-11-1980,Бухгалтер,селище Саки ,"парк Володимира Вінниченка, буд. 33 кв. 8, Чигирин, 98188",+380 37 498 34 39,wchumachenko@example.org
Гайдамака,Єлисей,Веніяминович,Чоловік,29-04-1940,Локсмайстер,селище Бахмут,"шосе Стамбульський, буд. 34 кв. 9, Тиврів, 48961",+380 (69) 035-17-19,solomonvakarchuk@example.net
Гаврилець,Олекса,Святославович,Чоловік,24-07-1975,Випробувач,село Благовіщенське,"площа Академіка Богатського, буд. 01, Корсунь-Шевченківський, 17956",+380 79 570-81-81,revasnizhana@example.org
Артюх,Руслан,Ігорович,Чоловік,07-06-1966,Історик,місто Брянка,"площа Бісквітний, буд. 355 кв. 768, Білгород-Дністровський, 59415",+380 13 177 24 20,klutsenko@example.com
Опанасенко,Теодор,Арсенович,Чоловік,07-08-1983,Будник,місто Покров,"набережна Павла Кравцова, буд. 211 кв. 657, Селидове, 90466",349-16-31,mykhailo14@example.net
Семенченко,Аарон,Станіславович,Чоловік,09-12-1986,Фермер,місто Ірміно,"набережна Кропивницького, буд. 95, Черкаси, 86998",+380 80 370 58 58,marynavermenych@example.org
Удовиченко,Богдан,Августинович,Чоловік,14-07-1944,Няня,місто Прип'ять ,"сквер Польська, буд. 06, Часів Яр, 34553",043 37 18,telychenkoielysei@example.com
Негода,Аврелій,Ігнатович,Чоловік,28-05-1947,Будник,селище Зіньків,"узвіз Левадна, буд. 859, Костопіль, 47381",+380 (81) 098-70-99,snizhanazakharchenko@example.net
Ажажа,Сергій,Васильович,Чоловік,05-08-1946,Ді-джей,селище Олевськ,"площа Поштова, буд. 9, Святогірськ, 24929",+380 91 466-76-40,khrystyna87@example.org
Годунок,Варфоломій,Тарасович,Чоловік,01-01-1999,Історик,місто Херсон,"площа Манежний, буд. 896, Верхньодніпровськ, 51970",+380 86 296 33 98,karpenkosviatoslava@example.net
Артюх,Устим,Симонович,Чоловік,14-07-2006,Нотаріус,село Чернігів,"узвіз Байкал тупик, буд. 2, Моршин, 63083",095 200 42 83,lutsenkomykolai@example.com
Даниленко,Йосип,Вʼячеславович,Чоловік,28-02-1962,Інженер,селище Нова Каховка,"парк Іванова, буд. 88 кв. 1, Вижниця, 66395",076 477-02-61,fbabak@example.net
Карпенко,Данило,Антонович,Чоловік,05-03-1986,Математик,хутір Березівка,"парк Танкерна, буд. 805 кв. 58, Люботин, 24662",+380 42 234 45 29,gbaidak@example.org
Олійник,Соломон,Георгійович,Чоловік,15-05-1991,Історик,місто Хрестівка,"шосе Посмітного, буд. 63 кв. 0, Городище , 36612",+380 (17) 721-19-93,dmytro60@example.com
Єсипенко,Ілля,Несторович,Чоловік,22-06-1974,Головний меркшейдер,селище Бобровиця,"проспект Рачкова, буд. 52 кв. 4, Татарбунари, 01640",043 351 46 22,kbabko@example.net
Олійник,Гліб,Назарович,Чоловік,21-08-1994,Слідчий,хутір Селидове,"набережна Дев’ята, буд. 6, Балаклія, 11856",193-95-13,qtiahnybok@example.net
Єсипенко,Августин,Андрійович,Чоловік,23-10-1961,Клоун,місто Кипуче,"провулок Суднобудівний, буд. 18 кв. 7, Городня, 56949",+380 79 527-24-13,kamilla96@example.com
Ірванець,Венедикт,Дмитрович,Чоловік,20-10-2004,Намотувальник,місто Буча,"вулиця Проценка, буд. 96 кв. 2, Ялта, 18425",072 37 76,okhrim90@example.net
Пʼятаченко,Веніямин,Венедиктович,Чоловік,27-11-1979,Фотограф,село Макіївка,"парк Рішельєвська, буд. 03 кв. 312, Луцьк, 63848",+380 65 676 27 24,priska41@example.org
Михайличенко,Володимир,Вадимович,Чоловік,23-03-1939,Маркетолог,селище Бердянськ,"площа Будівельна, буд. 9, Христинівка, 14810",+380 19 127-91-51,mariiapavlenko@example.net
Дрозденко,Леонід,Максимович,Чоловік,06-10-1953,Бібліотекар,село Сторожинець,"площа Отрадна, буд. 199 кв. 198, Теребовля, 60303",+380 52 810-99-55,akovpak@example.net
Гайда,Мирослав,Мирославович,Чоловік,28-10-1996,Бізнесмен,селище Авдіївка,"площа Лиманчик 2-й Лінія 8-ма, буд. 9, Лебедин, 74337",092 01 06,andreikoazar@example.net
Бабʼюк,Петро,Петрович,Чоловік,29-09-1951,Фрілансер,місто Гадяч,"набережна Капітана Гаврікова, буд. 0, Вовчанськ, 55983",076 904 69 63,ldashkevych@example.net
Свистун,Андрій,Леонтійович,Чоловік,23-06-1949,Стиліст,місто Тернопіль,"вулиця Кондрашина, буд. 0, Бучач, 74639",+380 61 492-91-91,liubovzakharenko@example.net
Лавренко,Веніямин,Вікторович,Чоловік,20-03-1970,Електротехнік,хутір Корсунь-Шевченківський,"парк Привозна, буд. 21, Галич, 30652",+380 86 250 43 20,kalchenkotereza@example.org
Юхименко,Левко,Олексович,Чоловік,09-08-1998,Ді-джей,селище Молочанськ,"узвіз Заводська 5-та, буд. 2 кв. 2, Городок, 64331",+380 62 435 54 94,panchukoleh@example.net
Височан,Гордій,Григорійович,Чоловік,09-06-1964,Фармацевт,село Курахове,"проспект Сергія Ейзенштейна, буд. 68, Кролевець, 88519",873-56-50,zoriansalii@example.org
Андріїшин,Богуслав,Богданович,Чоловік,03-09-1948,Реставратор,село Ржищів,"площа Задніпровського, буд. 624, Торецьк, 05596",+380 99 991-96-82,havrylivprokhir@example.org
Ященко,Леон,Юхимович,Чоловік,06-04-1945,Бібліотекар,місто Іловайськ,"проспект Різовська, буд. 68 кв. 26, Жовті Води, 85064",014 981-57-01,bohdan24@example.net
Лавренко,Олесь,Леопольдович,Чоловік,14-08-1941,Географ,селище Олешки,"парк Мариністів, буд. 80, Болград, 82093",+380 87 971 48 54,danylchuknataliia@example.net
Копитко,Богдан,Охрімович,Чоловік,04-08-1945,Будник,селище Новодружеськ,"провулок 3-тя Суворовська, буд. 121, Трускавець, 84882",053-20-46,myronriaboshapka@example.org
Якименко,Левко,Семенович,Чоловік,28-03-1943,Скульптор,селище Новояворівськ,"провулок Костанді 3-й, буд. 368 кв. 2, Первомайськ, 35058",572 84 02,cizhakevych@example.org
Кармалюк,Аарон,Стефанович,Чоловік,21-05-1994,Пілот,місто Підгайці,"сквер Мигдальна, буд. 19 кв. 47, Бунге , 79473",707 82 95,vertyporokhhryhorii@example.net
Франчук,Федір,Леопольдович,Чоловік,18-03-1970,Кіноактор,селище Білгород-Дністровський,"узвіз Калинова, буд. 1, Кривий Ріг, 11538",+380 73 337 45 10,mykhailomykhailychenko@example.net
Бандура,Ярослав,Богуславович,Чоловік,28-11-1960,Живописець,хутір Очаків,"парк Косовський, буд. 41, Умань, 45516",040 22 94,azarpavlychenko@example.net
Носенко,Гордій,Костянтинович,Чоловік,02-05-1954,Драматург,село Севастополь,"сквер Левітана, буд. 832 кв. 30, Суходільськ, 02138",+380 45 784-09-46,ieva84@example.net
Чекалюк,Олесь,Семенович,Чоловік,11-03-1968,Стиліст,селище Ялта,"парк Марата 2-й, буд. 81, Дубляни, 57271",392 60 97,romanbezborodky@example.net
Фартушняк,Богдан,Устимович,Чоловік,12-12-1937,Режисер,місто Борислав,"сквер Балтський 8-й, буд. 394 кв. 4, Суходільськ, 08277",023 208-31-02,fdubyna@example.com
Кабаненко,Леонтій,Тимофійович,Чоловік,08-06-1978,Фотограф,селище Костянтинівка,"площа Лінія 39-та, буд. 628, Гнівань, 95902",+380 (71) 552-08-49,etereshchuk@example.org
Баран,Тимофій,Богданович,Чоловік,22-10-1968,Менеджер,селище Чорноморськ,"шосе Лузанівський 2-й, буд. 0 кв. 7, Стрий, 76348",+380 64 960-84-43,kabanenkoprokhir@example.org
Бандурка,Марко,Семенович,Чоловік,13-09-1983,Клавішник,місто Вилкове,"набережна Дворянська, буд. 8, Батурин, 38945",960 87 32,olenaaleksandrenko@example.net
Артим,Богдан,Ростиславович,Чоловік,09-12-1986,Електромонтажник,місто Броди,"узвіз Рибальський, буд. 9, Христинівка, 56628",+380 31 882 03 88,orkhypieresko@example.com
Аверченко,Гаврило,Данилович,Чоловік,17-09-1975,Фермер,місто Родинське,"узвіз 2-га Лінія Марії Демченко, буд. 29, Вуглегірськ, 93616",061 540-13-74,virashchors@example.com
Давимука,Вадим,Назарович,Чоловік,07-06-1983,Золотар,село Тлумач,"площа Цементний, буд. 0 кв. 4, Білицьке, 75734",+380 14 900-43-88,zasenkoaaron@example.org
Терещук,Петро,Назарович,Чоловік,11-06-2005,Палеонтолог,хутір Роздільна,"вулиця Виноградний, буд. 7 кв. 0, Пологи , 13152",166 29 27,drobakhabohdanna@example.net
Царенко,Опанас,Аврелійович,Чоловік,08-02-1943,Мірошник,селище Сколе,"вулиця Академіка Вільямса, буд. 7 кв. 44, Соледар, 65407",099 940 82 71,ievdokymenkopavlo@example.org
Авраменко,Веніямин,Едуардович,Чоловік,19-05-1944,Гицель,хутір Чуднів,"провулок Танфільєва, буд. 343, Малин, 42953",923 53 30,kadeniuksofiia@example.com
Дацюк,Аврелій,Ярославович,Чоловік,06-05-1969,Астроном,село Кам'янка (Черкаська область),"вулиця Воронезька, буд. 67, Свалява, 14382",014 464-85-53,stanislavievtushenko@example.org
Бабійчук,Симон,Єлисейович,Чоловік,10-07-1960,Випробувач,місто Вільногірськ,"узвіз Оранжерейний, буд. 2, Валки , 02454",972-28-07,ievhen28@example.org
Скорик,Франц,Макарович,Чоловік,02-08-1996,Євнух,селище Чортків,"парк Грибоєдова, буд. 73, Чернівці, 65194",041 239 75 93,davymukaparmen@example.com
Жарко,Євген,Ігорович,Чоловік,29-08-1959,Няня,місто Куп'янськ,"площа Балтська дорога, буд. 2 кв. 14, Сімферополь, 50636",+380 71 633-22-46,viktoriia86@example.net
Ващук,Борислав,Адамович,Чоловік,26-02-1999,Модельєр,місто Лутугине,"узвіз Бородінська, буд. 491, Верхньодніпровськ, 22330",783-53-14,wgoliash@example.org
Дробʼязко,Гліб,Орестович,Чоловік,03-04-1940,Співак,хутір П'ятихатки,"набережна Туристський, буд. 62 кв. 0, Острог, 66855",+380 59 929-50-83,anastasiiaholyk@example.net
Скоробогатько,Демид,Мирославович,Чоловік,15-07-1964,Конструктор,місто Сарни,"провулок Студентський 1-й, буд. 847 кв. 374, Зіньків, 08622",+380 (14) 930-71-84,marko16@example.com
Примаченко,Степан,Владиславович,Чоловік,07-07-1995,Няня,селище Хрустальний,"набережна Пересипська 1-ша, буд. 090 кв. 78, Лутугине, 47966",074 752 20 90,priska07@example.org
Ґжицький,Геннадій,Антонович,Чоловік,06-09-1950,Стропальник,селище Червоноград,"площа Воронцовський, буд. 25, Знам'янка, 62937",+380 (60) 077-51-37,dan44@example.com
Якименко,Лукʼян,Лукʼянович,Чоловік,09-02-1948,Кухар,село Мирноград,"шосе Проектований 4-й, буд. 26 кв. 7, Сокиряни, 57621",+380 52 031 23 43,kyrylo87@example.net
Чарниш,Станіслав,Пилипович,Чоловік,02-10-1999,Водій,село Чорнобиль,"провулок Сєченова, буд. 63 кв. 165, Житомир, 64431",064 876-81-30,mbevzenko@example.com
Рубан,Семен,Михайлович,Чоловік,15-08-1951,Бухгалтер,хутір Феодосія,"проспект ім. К.Г. Паустовського, буд. 41 кв. 35, Лисичанськ, 66914",+380 23 862-95-02,protsenkoklyment@example.net
Тарасенко,Борис,Орестович,Чоловік,17-05-1964,Мікробіолог,місто Часів Яр,"проспект 7-ма Суворовська, буд. 189, Петрово-Красносілля, 94096",109-84-44,sliusaranton@example.net
Арсенич,Юстим,Єфремович,Чоловік,10-06-1966,Математик,хутір Белз,"площа Миколаївський 1-й, буд. 14, Підгайці, 75916",+380 63 611-77-58,hermanpelekh@example.org
Забарний,Федір,Семенович,Чоловік,25-11-1945,Дизайнер,хутір Радивилів,"парк Китобійна, буд. 3 кв. 06, Березне, 11936",121-48-91,rhabelko@example.com
Кальченко,Геннадій,Ааронович,Чоловік,08-10-1957,Бібліограф,село Збараж,"парк 8-ма Суворовська, буд. 867 кв. 5, Верхньодніпровськ, 82222",+380 (82) 505-81-83,artem61@example.net
Шило,Микита,Вʼячеславович,Чоловік,16-05-1997,Пілот,село Таврійськ,"узвіз Амурський 2-й, буд. 32, Герца, 02185",262-45-80,baranvira@example.com
Верменич,Орхип,Несторович,Чоловік,08-02-1988,Промисловець,місто Енергодар,"парк Юннатів 3-й, буд. 784, Кагарлик, 74149",069 879 19 04,rozaliiaisaievych@example.net
Жарко,Прохір,Вадимович,Чоловік,13-04-1991,Медик,селище Чоп,"проспект Садова 1-ша, буд. 398 кв. 9, Южноукраїнськ, 43768",079 524 75 34,serhii57@example.org
Єрченко,Спас,Ігорович,Чоловік,20-01-1950,Ювелір,село Хорол ,"вулиця Різдвяна, буд. 362 кв. 3, Мар'їнка, 48823",441 30 59,orysia43@example.com
Яременко,Онисим,Максимович,Чоловік,25-02-2004,Антрополог,селище Кременець,"провулок Чапаєва, буд. 4, Сулимівка (Слов'янськ), 17723",041 329 58 17,violettashvaika@example.net
Романенко,Теодор,Демидович,Чоловік,29-12-2001,Професор,хутір Кагарлик,"проспект Лінія 40-ва, буд. 787 кв. 83, Одеса, 15940",369-14-81,btykhyi@example.net
Дзюба,Адам,Панасович,Чоловік,24-12-1947,Математик,місто Синельникове,"площа Лінія 49-та, буд. 45, Куп'янськ, 69917",030 556-80-52,tbaran@example.com
Ярема,Охрім,Назарович,Чоловік,11-02-1964,Продюсер,село Яремче,"узвіз Наявний 6-й, буд. 3, Донецьк, 80761",018-49-94,arkadiiiarema@example.net
Палій,Ігор,Бориславович,Чоловік,29-12-1941,Льотчик,селище Довжанськ,"сквер Геологічна, буд. 6 кв. 55, Апостолове, 41919",+380 31 010-34-65,hrytsenkoserhii@example.com
Малик,Амвросій,Дмитрович,Чоловік,05-09-2007,Журналіст,село Луцьк,"парк 9-та Суворовська, буд. 0 кв. 0, Глобине, 92551",+380 33 396-02-94,dzinchuk@example.org
Каденюк,Олесь,Микитович,Чоловік,25-10-1986,Стиліст,селище Боково-Хрустальне,"площа Махачкалинська, буд. 725 кв. 276, Лебедин, 06268",+380 18 290 38 64,snizhanazhalilo@example.com
Ярема,Костянтин,Максимович,Чоловік,10-01-1938,Клоун,місто Міусинськ,"сквер Асташкіна, буд. 947 кв. 44, Переяслав, 52003",+380 73 083 94 66,pshchors@example.net
Гайдамака,Лесь,Ігорович,Чоловік,01-02-1983,Гірник,селище Таврійськ,"узвіз Сьома, буд. 484, Скадовськ, 90336",018 632-63-65,danylo92@example.net
Овсієнко,Владислав,Євгенійович,Чоловік,27-07-2008,Географ,село Географія Вільнянська,"вулиця Асташкіна, буд. 11 кв. 6, Берестечко, 24825",943-23-58,oksanadzhus@example.net
Сомко,Петро,Едуардович,Чоловік,05-12-1973,Гірничий інженер,село Кременчук,"парк 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 477, Дніпрорудне, 80332",+380 93 083-69-12,zinchukpetro@example.net
Архипенко,Дан,Симонович,Чоловік,19-11-1951,Фермер,хутір Вуглегірськ,"проспект Новий, буд. 33 кв. 79, Старобільськ, 06365",+380 37 186-89-85,vzabila@example.net
Лаба,Макар,Валерійович,Чоловік,14-05-1943,Паралегал,місто Перемишляни,"вулиця Калнишевського Петра, буд. 62 кв. 5, Донецьк, 96296",+380 17 162 92 47,mykolaivdovychenko@example.org
Байрак,Ростислав,Леонтійович,Чоловік,31-03-1984,Літературознавець,місто Острог,"площа Іспанська, буд. 926 кв. 70, Жмеринка, 85833",010 560-73-82,barannykleopold@example.net
Чалий,Вʼячеслав,Несторович,Чоловік,07-10-1962,Кушнір,хутір Коломия,"парк Квітковий, буд. 687 кв. 200, Авдіївка, 80258",172-09-49,frantsiermolenko@example.net
Самойленко,Аркадій,Варфоломійович,Чоловік,05-01-1994,Промисловець,місто Селидове,"сквер Ремонтна, буд. 059 кв. 6, Прилуки, 75876",+380 12 914-30-81,andriishchyrytsia@example.com
Микитюк,Костянтин,Єлисейович,Чоловік,10-12-1955,Клоун,місто Петрово-Красносілля,"набережна Шампанський, буд. 29, Ржищів, 12505",+380 17 514-11-79,umanetstereza@example.org
Абрагамовський,Артем,Васильович,Чоловік,08-04-2003,Геолог,селище Скадовськ,"узвіз Єнісейська, буд. 2 кв. 788, Молодогвардійськ, 23590",+380 36 318 66 00,baklansolomon@example.com
Затула,Остап,Захарович,Чоловік,30-03-1973,Детектив,хутір Новогродівка,"узвіз Ткачова, буд. 69 кв. 509, Рені, 14150",+380 03 132 91 79,viktoriiaromanenko@example.net
Ванченко,Кирило,Іванович,Чоловік,01-06-1964,Електрик,місто Мар'їнка,"сквер Жаботинського, буд. 4, Болград, 52446",+380 96 486-43-73,shapovalsnizhana@example.org
Кабаненко,Климент,Семенович,Чоловік,07-06-1950,Головний меркшейдер,село Сторожинець,"сквер Каркашадзе, буд. 87, Новий Розділ, 91165",025-72-90,iesypenkosolomiia@example.org
Христич,Алевтин,Ігнатович,Чоловік,17-03-1984,Шериф,місто Городня,"парк Венгера, буд. 565 кв. 448, Харків, 82406",+380 15 029 20 85,viacheslavmamchur@example.net
Баран,Адам,Климентович,Чоловік,02-11-1956,Ґрунтознавець,селище Токмак,"вулиця Ольгіївська, буд. 619 кв. 531, Заставна, 67700",+380 11 557 82 05,rudkoiefrem@example.com
Байрак,Валерій,Васильович,Чоловік,21-03-1985,Публіцист,місто Христинівка,"площа 2-га Лінія Марії Демченко, буд. 674, Хуст, 69460",065 896 35 85,svitlanazhaivoron@example.com
Супруненко,Едуард,Віталійович,Чоловік,25-02-1954,Агроном,село Яремче,"провулок 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 4, Заводське, 28159",+380 (37) 399-85-23,orkhypvashchenko@example.com
Чорновіл,Олександр,Святославович,Чоловік,09-10-1992,Біолог,місто Буськ,"узвіз Травневий 5-й, буд. 99 кв. 2, Джанкой, 30399",135 19 22,nadiia88@example.org
Мамчур,Прохір,Миколайович,Чоловік,28-11-1959,Конструктор,село Ржищів,"вулиця Академіка Панкратової, буд. 19, Красилів, 62550",001 294 07 27,zorian67@example.com
Копитко,Антон,Азарович,Чоловік,23-08-1981,Психолог,місто Федорівка,"провулок Кільовий, буд. 9, Красноград, 81629",236 56 26,zharkoiakiv@example.net
Пилипенко,Аарон,Леонідович,Чоловік,13-04-1971,Астронавт,селище Бровари,"проспект Маршала Говорова, буд. 0 кв. 01, Пирятин, 52324",+380 57 346-13-85,levko92@example.net
Шутько,Єлисей,Степанович,Чоловік,06-12-1961,Медик,хутір Черкаси,"шосе Березовий, буд. 6 кв. 599, Тетіїв, 94041",005 296 35 95,albinadeineka@example.com
Забіла,Прохір,Михайлович,Чоловік,29-07-1978,Ріелтор,місто Почаїв,"проспект Військовий узвіз, буд. 6 кв. 5, Канів, 27523",+380 (00) 808-50-95,mykhailovdovychenko@example.com
Худобʼяк,Тимофій,Устимович,Чоловік,12-03-1940,Кінокритик,місто Молодогвардійськ,"вулиця Східчастий 3-й, буд. 7 кв. 03, Старий Крим, 60206",+380 (84) 753-47-64,myroslav34@example.net
Колісниченко,Данило,Едуардович,Чоловік,25-09-1986,Епідеміолог,селище Барвінкове,"парк Архітектурна, буд. 37, Зіньків, 47865",+380 68 455-18-34,adakhno@example.net
Романець,Петро,Станіславович,Чоловік,23-02-1978,Ріелтор,село Старий Крим,"вулиця Сільська, буд. 8 кв. 7, Камінь-Каширський, 42925",067 493 97 92,symonenkoiosyp@example.com
Ґерус,Павло,Венедиктович,Чоловік,07-09-1965,Мікробіолог,селище Чистякове,"сквер Скворцова, буд. 79, Щолкіне, 33042",337 16 53,govcharenko@example.net
Пустовіт,Орест,Віталійович,Чоловік,28-04-1946,Лікар,селище Каховка,"проспект Павла Шклярука, буд. 94 кв. 139, Кодима, 24104",027 522-16-52,amvrosiishukhevych@example.net
Акуленко,Франц,Ростиславович,Чоловік,26-08-1982,Історик,селище Стрий,"шосе Ключовий 1-й, буд. 6 кв. 0, Радехів, 20305",982-82-12,avdieienkoiustym@example.org
Негода,Артем,Аркадійович,Чоловік,18-09-1988,Ґрунтознавець,місто Дніпрорудне,"набережна Рощева, буд. 37, Погребище, 76707",+380 34 520 71 09,elubenets@example.com
Смик,Лукʼян,Болеславович,Чоловік,21-03-1980,Краєзнавець,хутір Красногорівка,"парк Отамана Головатого, буд. 77, Яворів, 56098",010 055-48-98,jdemydenko@example.net
Аронець,Мирон,Соломонович,Чоловік,26-02-1982,Археолог,селище Белз,"сквер Луценка Івана, буд. 278 кв. 9, Кролевець, 79601",+380 (31) 419-02-65,ievabazavluchenko@example.net
Петлюра,Адам,Георгійович,Чоловік,14-02-1960,Конструктор,місто Первомайський ,"узвіз Аркаса Миколи, буд. 7 кв. 7, Сватове, 12878",477 06 15,odarka77@example.org
Артимович,Леонтій,Орестович,Чоловік,11-09-1979,Бібліограф,хутір Білозерське,"шосе Поїзна, буд. 82 кв. 590, Чугуїв, 56889",368-34-02,tarastsiutsiura@example.com
Штепа,Захар,Вікторович,Чоловік,02-03-1976,Журналіст,хутір Баранівка,"узвіз 2-га Лінія Марії Демченко, буд. 00 кв. 67, Армянськ, 76629",002 624 18 21,okhrimtiahnybok@example.com
Шамрай,Веніямин,Зорянович,Чоловік,06-02-1967,Будник,село Валки ,"сквер Гаршина, буд. 311 кв. 071, Сєвєродонецьк, 80746",024 838-92-35,vskyba@example.com
